precision,recall,threshold
0.01643835616438356,0.8571428571428571,3.7011864395040764e-06
0.01646090534979424,0.8571428571428571,3.713195239390273e-06
0.016483516483516484,0.8571428571428571,3.714589853157043e-06
0.016506189821182942,0.8571428571428571,3.7299298325368904e-06
0.01652892561983471,0.8571428571428571,3.804759811858859e-06
0.016551724137931035,0.8571428571428571,3.878398222352736e-06
0.016574585635359115,0.8571428571428571,3.8803184723766815e-06
0.016597510373443983,0.8571428571428571,3.8871240424880445e-06
0.01662049861495845,0.8571428571428571,3.903814261545312e-06
0.016643550624133148,0.8571428571428571,3.915194487814793e-06
0.016666666666666666,0.8571428571428571,3.9811249044986115e-06
0.016689847009735744,0.8571428571428571,4.022826858494425e-06
0.016713091922005572,0.8571428571428571,4.032264774044148e-06
0.016736401673640166,0.8571428571428571,4.040814721088657e-06
0.01675977653631285,0.8571428571428571,4.047223811539055e-06
0.016783216783216783,0.8571428571428571,4.0505703294955745e-06
0.01680672268907563,0.8571428571428571,4.073812413042104e-06
0.016830294530154277,0.8571428571428571,4.074799658355042e-06
0.016853932584269662,0.8571428571428571,4.088199812577122e-06
0.016877637130801686,0.8571428571428571,4.090769335824678e-06
0.016901408450704224,0.8571428571428571,4.092919486430261e-06
0.01692524682651622,0.8571428571428571,4.1785198685777954e-06
0.01702127659574468,0.8571428571428571,4.308408972641539e-06
0.017045454545454544,0.8571428571428571,4.319832211810477e-06
0.017069701280227598,0.8571428571428571,4.383613517132433e-06
0.017094017094017096,0.8571428571428571,4.4837138036421155e-06
0.017118402282453638,0.8571428571428571,4.544489383849675e-06
0.017142857142857144,0.8571428571428571,4.550727048488079e-06
0.017167381974248927,0.8571428571428571,4.560559616796333e-06
0.017191977077363897,0.8571428571428571,4.563701381617591e-06
0.01721664275466284,0.8571428571428571,4.590506997879516e-06
0.017241379310344827,0.8571428571428571,4.6085814452810885e-06
0.017266187050359712,0.8571428571428571,4.65110281112509e-06
0.01729106628242075,0.8571428571428571,4.661916467773264e-06
0.017316017316017316,0.8571428571428571,4.6631074018615176e-06
0.017341040462427744,0.8571428571428571,4.695891228581273e-06
